, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
253,@CNN,-0.3612,Wed Aug 01 06:11:19 +0000 2018,0.172,0.828,0.0,54
254,@CNN,-0.5574,Wed Aug 01 06:11:19 +0000 2018,0.155,0.798,0.046,55
255,@CNN,0.0,Wed Aug 01 06:11:17 +0000 2018,0.0,1.0,0.0,56
256,@CNN,0.7003,Wed Aug 01 06:11:15 +0000 2018,0.074,0.664,0.262,57
257,@CNN,-0.7345,Wed Aug 01 06:11:12 +0000 2018,0.198,0.802,0.0,58
258,@CNN,0.4404,Wed Aug 01 06:11:11 +0000 2018,0.071,0.749,0.18,59
259,@CNN,-0.0772,Wed Aug 01 06:11:10 +0000 2018,0.056,0.944,0.0,60
260,@CNN,-0.5983,Wed Aug 01 06:11:09 +0000 2018,0.163,0.837,0.0,61
261,@CNN,-0.3612,Wed Aug 01 06:11:08 +0000 2018,0.157,0.736,0.107,62
262,@CNN,0.0,Wed Aug 01 06:11:07 +0000 2018,0.0,1.0,0.0,63
263,@CNN,0.4404,Wed Aug 01 06:11:06 +0000 2018,0.071,0.749,0.18,64
264,@CNN,0.0,Wed Aug 01 06:11:05 +0000 2018,0.0,1.0,0.0,65
265,@CNN,0.0,Wed Aug 01 06:11:04 +0000 2018,0.0,1.0,0.0,66
266,@CNN,-0.6776,Wed Aug 01 06:11:01 +0000 2018,0.179,0.821,0.0,67
267,@CNN,0.5106,Wed Aug 01 06:10:57 +0000 2018,0.0,0.87,0.13,68
268,@CNN,-0.7163,Wed Aug 01 06:10:55 +0000 2018,0.217,0.783,0.0,69
269,@CNN,0.0,Wed Aug 01 06:10:55 +0000 2018,0.0,1.0,0.0,70
270,@CNN,-0.5574,Wed Aug 01 06:10:55 +0000 2018,0.155,0.798,0.046,71
271,@CNN,0.0,Wed Aug 01 06:10:55 +0000 2018,0.0,1.0,0.0,72
272,@CNN,0.743,Wed Aug 01 06:10:54 +0000 2018,0.0,0.588,0.412,73
273,@CNN,0.0,Wed Aug 01 06:10:53 +0000 2018,0.0,1.0,0.0,74
274,@CNN,0.2732,Wed Aug 01 06:10:53 +0000 2018,0.0,0.896,0.104,75
275,@CNN,0.0,Wed Aug 01 06:10:48 +0000 2018,0.0,1.0,0.0,76
276,@CNN,0.7717,Wed Aug 01 06:10:48 +0000 2018,0.0,0.7,0.3,77
277,@CNN,0.0,Wed Aug 01 06:10:46 +0000 2018,0.0,1.0,0.0,78
278,@CNN,-0.6249,Wed Aug 01 06:10:46 +0000 2018,0.215,0.785,0.0,79
279,@CNN,-0.4874,Wed Aug 01 06:10:42 +0000 2018,0.204,0.71,0.086,80
280,@CNN,0.0,Wed Aug 01 06:10:42 +0000 2018,0.0,1.0,0.0,81
281,@CNN,0.0,Wed Aug 01 06:10:41 +0000 2018,0.0,1.0,0.0,82
282,@CNN,0.4404,Wed Aug 01 06:10:35 +0000 2018,0.071,0.749,0.18,83
283,@CNN,0.743,Wed Aug 01 06:10:34 +0000 2018,0.0,0.588,0.412,84
284,@CNN,0.7925,Wed Aug 01 06:10:32 +0000 2018,0.0,0.713,0.287,85
285,@CNN,0.4404,Wed Aug 01 06:10:29 +0000 2018,0.071,0.749,0.18,86
286,@CNN,0.0,Wed Aug 01 06:10:26 +0000 2018,0.0,1.0,0.0,87
287,@CNN,-0.5994,Wed Aug 01 06:10:24 +0000 2018,0.426,0.426,0.149,88
288,@CNN,0.0,Wed Aug 01 06:10:23 +0000 2018,0.0,1.0,0.0,89
289,@CNN,-0.4184,Wed Aug 01 06:10:22 +0000 2018,0.148,0.852,0.0,90
290,@CNN,-0.34,Wed Aug 01 06:10:22 +0000 2018,0.201,0.683,0.115,91
291,@CNN,-0.126,Wed Aug 01 06:10:21 +0000 2018,0.14,0.741,0.119,92
292,@CNN,0.4404,Wed Aug 01 06:10:20 +0000 2018,0.0,0.873,0.127,93
293,@CNN,0.743,Wed Aug 01 06:10:20 +0000 2018,0.0,0.588,0.412,94
294,@CNN,0.5859,Wed Aug 01 06:10:19 +0000 2018,0.0,0.798,0.202,95
295,@CNN,-0.3291,Wed Aug 01 06:10:18 +0000 2018,0.121,0.879,0.0,96
296,@CNN,-0.3089,Wed Aug 01 06:10:17 +0000 2018,0.124,0.876,0.0,97
297,@CNN,0.743,Wed Aug 01 06:10:17 +0000 2018,0.0,0.588,0.412,98
298,@CNN,0.5574,Wed Aug 01 06:10:17 +0000 2018,0.0,0.82,0.18,99
299,@CNN,-0.793,Wed Aug 01 06:10:15 +0000 2018,0.289,0.556,0.155,100
300,@Fox,0.802,Wed Aug 01 06:10:19 +0000 2018,0.0,0.661,0.339,1
301,@Fox,-0.2755,Wed Aug 01 06:09:33 +0000 2018,0.123,0.877,0.0,2
302,@Fox,-0.4767,Wed Aug 01 06:09:17 +0000 2018,0.193,0.807,0.0,3
303,@Fox,-0.296,Wed Aug 01 06:06:51 +0000 2018,0.18,0.82,0.0,4
304,@Fox,-0.3595,Wed Aug 01 06:05:46 +0000 2018,0.217,0.783,0.0,5
305,@Fox,-0.2755,Wed Aug 01 06:04:07 +0000 2018,0.14,0.86,0.0,6
306,@Fox,0.0,Wed Aug 01 06:02:59 +0000 2018,0.0,1.0,0.0,7
307,@Fox,0.4926,Wed Aug 01 05:55:49 +0000 2018,0.067,0.762,0.171,8
308,@Fox,-0.0852,Wed Aug 01 05:54:18 +0000 2018,0.063,0.889,0.049,9
309,@Fox,0.0,Wed Aug 01 05:50:45 +0000 2018,0.0,1.0,0.0,10
310,@Fox,0.5106,Wed Aug 01 05:50:41 +0000 2018,0.0,0.864,0.136,11
311,@Fox,0.5106,Wed Aug 01 05:48:57 +0000 2018,0.0,0.852,0.148,12
312,@Fox,0.8534,Wed Aug 01 05:42:11 +0000 2018,0.0,0.695,0.305,13
313,@Fox,-0.3182,Wed Aug 01 05:37:23 +0000 2018,0.103,0.897,0.0,14
314,@Fox,0.0,Wed Aug 01 05:35:00 +0000 2018,0.0,1.0,0.0,15
315,@Fox,0.4215,Wed Aug 01 05:28:02 +0000 2018,0.0,0.872,0.128,16
316,@Fox,-0.296,Wed Aug 01 05:26:13 +0000 2018,0.109,0.891,0.0,17
317,@Fox,0.3384,Wed Aug 01 05:21:32 +0000 2018,0.089,0.766,0.145,18
318,@Fox,0.0,Wed Aug 01 05:14:10 +0000 2018,0.0,1.0,0.0,19
319,@Fox,0.0,Wed Aug 01 05:09:35 +0000 2018,0.0,1.0,0.0,20
320,@Fox,0.3384,Wed Aug 01 05:05:26 +0000 2018,0.097,0.746,0.158,21
321,@Fox,0.0,Wed Aug 01 05:05:02 +0000 2018,0.0,1.0,0.0,22
322,@Fox,0.0,Wed Aug 01 04:42:30 +0000 2018,0.0,1.0,0.0,23
323,@Fox,0.0,Wed Aug 01 04:35:47 +0000 2018,0.0,1.0,0.0,24
324,@Fox,0.6981,Wed Aug 01 04:34:03 +0000 2018,0.0,0.715,0.285,25
325,@Fox,0.0,Wed Aug 01 04:26:14 +0000 2018,0.0,1.0,0.0,26
326,@Fox,0.0,Wed Aug 01 04:22:48 +0000 2018,0.0,1.0,0.0,27
327,@Fox,0.0,Wed Aug 01 04:20:14 +0000 2018,0.0,1.0,0.0,28
328,@Fox,0.0,Wed Aug 01 04:17:54 +0000 2018,0.0,1.0,0.0,29
329,@Fox,0.0,Wed Aug 01 04:14:55 +0000 2018,0.0,1.0,0.0,30
330,@Fox,0.4215,Wed Aug 01 04:13:55 +0000 2018,0.0,0.833,0.167,31
331,@Fox,0.0,Wed Aug 01 04:12:53 +0000 2018,0.0,1.0,0.0,32
332,@Fox,0.0,Wed Aug 01 04:12:00 +0000 2018,0.0,1.0,0.0,33
333,@Fox,0.0,Wed Aug 01 04:08:42 +0000 2018,0.0,1.0,0.0,34
334,@Fox,0.5859,Wed Aug 01 04:01:54 +0000 2018,0.0,0.774,0.226,35
335,@Fox,0.0,Wed Aug 01 03:58:04 +0000 2018,0.0,1.0,0.0,36
336,@Fox,-0.5093,Wed Aug 01 03:43:47 +0000 2018,0.32,0.68,0.0,37
337,@Fox,-0.296,Wed Aug 01 03:42:58 +0000 2018,0.095,0.905,0.0,38
338,@Fox,0.6908,Wed Aug 01 03:38:38 +0000 2018,0.0,0.749,0.251,39
339,@Fox,0.0,Wed Aug 01 03:34:13 +0000 2018,0.0,1.0,0.0,40
340,@Fox,-0.2263,Wed Aug 01 03:32:13 +0000 2018,0.095,0.905,0.0,41
341,@Fox,0.0,Wed Aug 01 03:31:07 +0000 2018,0.0,1.0,0.0,42
342,@Fox,0.0,Wed Aug 01 03:29:41 +0000 2018,0.0,1.0,0.0,43
343,@Fox,-0.4084,Wed Aug 01 03:12:58 +0000 2018,0.154,0.846,0.0,44
344,@Fox,0.0,Wed Aug 01 03:12:38 +0000 2018,0.0,1.0,0.0,45
345,@Fox,0.0772,Wed Aug 01 03:07:43 +0000 2018,0.0,0.929,0.071,46
346,@Fox,0.0,Wed Aug 01 03:01:24 +0000 2018,0.0,1.0,0.0,47
347,@Fox,0.0,Wed Aug 01 02:58:34 +0000 2018,0.0,1.0,0.0,48
348,@Fox,0.0,Wed Aug 01 02:57:52 +0000 2018,0.0,1.0,0.0,49
349,@Fox,0.4215,Wed Aug 01 02:43:50 +0000 2018,0.0,0.872,0.128,50
350,@Fox,0.0,Wed Aug 01 02:40:45 +0000 2018,0.0,1.0,0.0,51
351,@Fox,0.4404,Wed Aug 01 02:36:20 +0000 2018,0.0,0.868,0.132,52
352,@Fox,0.0,Wed Aug 01 02:32:13 +0000 2018,0.0,1.0,0.0,53
353,@Fox,0.0,Wed Aug 01 02:30:31 +0000 2018,0.0,1.0,0.0,54
354,@Fox,0.6696,Wed Aug 01 02:30:29 +0000 2018,0.0,0.64,0.36,55
355,@Fox,0.5423,Wed Aug 01 02:16:39 +0000 2018,0.0,0.83,0.17,56
356,@Fox,0.3612,Wed Aug 01 02:10:19 +0000 2018,0.16,0.494,0.346,57
357,@Fox,-0.6662,Wed Aug 01 02:10:12 +0000 2018,0.223,0.777,0.0,58
358,@Fox,0.0,Wed Aug 01 02:10:09 +0000 2018,0.0,1.0,0.0,59
359,@Fox,0.0,Wed Aug 01 02:07:46 +0000 2018,0.0,1.0,0.0,60
360,@Fox,0.0,Wed Aug 01 02:03:38 +0000 2018,0.0,1.0,0.0,61
361,@Fox,0.6239,Wed Aug 01 02:02:05 +0000 2018,0.0,0.662,0.338,62
362,@Fox,-0.1935,Wed Aug 01 01:59:35 +0000 2018,0.149,0.733,0.118,63
363,@Fox,-0.6662,Wed Aug 01 01:58:00 +0000 2018,0.243,0.757,0.0,64
364,@Fox,0.0,Wed Aug 01 01:54:08 +0000 2018,0.0,1.0,0.0,65
365,@Fox,0.4199,Wed Aug 01 01:54:01 +0000 2018,0.0,0.834,0.166,66
366,@Fox,0.0,Wed Aug 01 01:48:55 +0000 2018,0.0,1.0,0.0,67
367,@Fox,0.0,Wed Aug 01 01:44:20 +0000 2018,0.0,1.0,0.0,68
368,@Fox,0.0,Wed Aug 01 01:42:45 +0000 2018,0.0,1.0,0.0,69
369,@Fox,0.0,Wed Aug 01 01:38:58 +0000 2018,0.0,1.0,0.0,70
370,@Fox,-0.6531,Wed Aug 01 01:37:42 +0000 2018,0.178,0.76,0.062,71
371,@Fox,0.3987,Wed Aug 01 01:33:31 +0000 2018,0.0,0.804,0.196,72
372,@Fox,0.5707,Wed Aug 01 01:32:14 +0000 2018,0.073,0.685,0.242,73
373,@Fox,0.0,Wed Aug 01 01:30:39 +0000 2018,0.0,1.0,0.0,74
374,@Fox,0.0,Wed Aug 01 01:26:11 +0000 2018,0.0,1.0,0.0,75
375,@Fox,0.0,Wed Aug 01 01:20:20 +0000 2018,0.0,1.0,0.0,76
376,@Fox,0.0,Wed Aug 01 01:19:37 +0000 2018,0.0,1.0,0.0,77
377,@Fox,0.5707,Wed Aug 01 01:18:38 +0000 2018,0.073,0.685,0.242,78
378,@Fox,0.5399,Wed Aug 01 01:12:55 +0000 2018,0.0,0.721,0.279,79
379,@Fox,0.7906,Wed Aug 01 01:12:19 +0000 2018,0.0,0.682,0.318,80
380,@Fox,0.4404,Wed Aug 01 01:11:15 +0000 2018,0.0,0.854,0.146,81
381,@Fox,0.8534,Wed Aug 01 01:04:24 +0000 2018,0.0,0.6,0.4,82
382,@Fox,-0.504,Wed Aug 01 00:56:59 +0000 2018,0.321,0.679,0.0,83
383,@Fox,0.0,Wed Aug 01 00:54:59 +0000 2018,0.0,1.0,0.0,84
384,@Fox,0.0,Wed Aug 01 00:46:46 +0000 2018,0.0,1.0,0.0,85
385,@Fox,0.0,Wed Aug 01 00:42:55 +0000 2018,0.0,1.0,0.0,86
386,@Fox,0.0,Wed Aug 01 00:41:14 +0000 2018,0.0,1.0,0.0,87
387,@Fox,0.0,Wed Aug 01 00:41:06 +0000 2018,0.0,1.0,0.0,88
388,@Fox,0.0,Wed Aug 01 00:09:00 +0000 2018,0.0,1.0,0.0,89
389,@Fox,0.7906,Wed Aug 01 00:05:39 +0000 2018,0.0,0.682,0.318,90
390,@Fox,0.0,Tue Jul 31 23:56:44 +0000 2018,0.0,1.0,0.0,91
391,@Fox,-0.8957,Tue Jul 31 23:56:36 +0000 2018,0.457,0.543,0.0,92
392,@Fox,0.4404,Tue Jul 31 23:47:00 +0000 2018,0.0,0.838,0.162,93
393,@Fox,-0.4019,Tue Jul 31 23:39:35 +0000 2018,0.101,0.899,0.0,94
394,@Fox,-0.2944,Tue Jul 31 23:38:21 +0000 2018,0.174,0.661,0.165,95
395,@Fox,-0.2732,Tue Jul 31 23:35:06 +0000 2018,0.095,0.905,0.0,96
396,@Fox,0.6597,Tue Jul 31 23:31:00 +0000 2018,0.0,0.738,0.262,97
397,@Fox,0.0,Tue Jul 31 23:28:50 +0000 2018,0.0,1.0,0.0,98
398,@Fox,0.6219,Tue Jul 31 23:06:00 +0000 2018,0.0,0.775,0.225,99
399,@Fox,0.0,Tue Jul 31 23:04:18 +0000 2018,0.0,1.0,0.0,100
400,@nytimes,-0.5255,Wed Aug 01 06:12:19 +0000 2018,0.174,0.764,0.061,1
401,@nytimes,0.0,Wed Aug 01 06:12:18 +0000 2018,0.0,1.0,0.0,2
402,@nytimes,0.0,Wed Aug 01 06:12:14 +0000 2018,0.0,1.0,0.0,3
403,@nytimes,-0.5255,Wed Aug 01 06:12:10 +0000 2018,0.174,0.764,0.061,4
404,@nytimes,-0.5255,Wed Aug 01 06:12:01 +0000 2018,0.174,0.764,0.061,5
405,@nytimes,-0.7964,Wed Aug 01 06:11:52 +0000 2018,0.253,0.747,0.0,6
406,@nytimes,-0.5255,Wed Aug 01 06:11:51 +0000 2018,0.174,0.764,0.061,7
407,@nytimes,0.6705,Wed Aug 01 06:11:41 +0000 2018,0.0,0.766,0.234,8
408,@nytimes,-0.7964,Wed Aug 01 06:11:41 +0000 2018,0.253,0.747,0.0,9
409,@nytimes,-0.6872,Wed Aug 01 06:11:27 +0000 2018,0.242,0.685,0.073,10
410,@nytimes,-0.4717,Wed Aug 01 06:11:11 +0000 2018,0.128,0.872,0.0,11
411,@nytimes,-0.5255,Wed Aug 01 06:11:09 +0000 2018,0.174,0.764,0.061,12
412,@nytimes,-0.3384,Wed Aug 01 06:11:05 +0000 2018,0.148,0.763,0.089,13
413,@nytimes,0.3612,Wed Aug 01 06:11:03 +0000 2018,0.0,0.912,0.088,14
414,@nytimes,0.3182,Wed Aug 01 06:10:58 +0000 2018,0.073,0.782,0.145,15
415,@nytimes,0.3182,Wed Aug 01 06:10:57 +0000 2018,0.073,0.782,0.145,16
416,@nytimes,0.0,Wed Aug 01 06:10:46 +0000 2018,0.0,1.0,0.0,17
417,@nytimes,-0.5255,Wed Aug 01 06:10:45 +0000 2018,0.174,0.764,0.061,18
418,@nytimes,-0.5255,Wed Aug 01 06:10:44 +0000 2018,0.174,0.764,0.061,19
419,@nytimes,0.3818,Wed Aug 01 06:10:44 +0000 2018,0.0,0.88,0.12,20
420,@nytimes,0.0,Wed Aug 01 06:10:37 +0000 2018,0.0,1.0,0.0,21
421,@nytimes,-0.5255,Wed Aug 01 06:10:36 +0000 2018,0.174,0.764,0.061,22
422,@nytimes,-0.5255,Wed Aug 01 06:10:35 +0000 2018,0.174,0.764,0.061,23
423,@nytimes,0.6369,Wed Aug 01 06:10:32 +0000 2018,0.0,0.851,0.149,24
424,@nytimes,-0.7964,Wed Aug 01 06:10:32 +0000 2018,0.253,0.747,0.0,25
425,@nytimes,-0.2732,Wed Aug 01 06:10:32 +0000 2018,0.133,0.802,0.065,26
426,@nytimes,0.1027,Wed Aug 01 06:10:31 +0000 2018,0.085,0.813,0.102,27
427,@nytimes,0.0,Wed Aug 01 06:10:21 +0000 2018,0.0,1.0,0.0,28
428,@nytimes,-0.3875,Wed Aug 01 06:10:20 +0000 2018,0.134,0.866,0.0,29
429,@nytimes,0.8543,Wed Aug 01 06:10:19 +0000 2018,0.0,0.581,0.419,30
430,@nytimes,0.0,Wed Aug 01 06:10:14 +0000 2018,0.0,1.0,0.0,31
431,@nytimes,0.6486,Wed Aug 01 06:09:49 +0000 2018,0.097,0.65,0.253,32
432,@nytimes,0.2975,Wed Aug 01 06:09:47 +0000 2018,0.0,0.855,0.145,33
433,@nytimes,0.0,Wed Aug 01 06:09:47 +0000 2018,0.0,1.0,0.0,34
434,@nytimes,0.0,Wed Aug 01 06:09:41 +0000 2018,0.0,1.0,0.0,35
435,@nytimes,0.2263,Wed Aug 01 06:09:38 +0000 2018,0.0,0.899,0.101,36
436,@nytimes,0.0,Wed Aug 01 06:09:26 +0000 2018,0.0,1.0,0.0,37
437,@nytimes,-0.34,Wed Aug 01 06:09:26 +0000 2018,0.107,0.893,0.0,38
438,@nytimes,0.0,Wed Aug 01 06:09:23 +0000 2018,0.0,1.0,0.0,39
439,@nytimes,-0.5255,Wed Aug 01 06:09:21 +0000 2018,0.174,0.764,0.061,40
440,@nytimes,-0.5255,Wed Aug 01 06:09:15 +0000 2018,0.174,0.764,0.061,41
441,@nytimes,0.0,Wed Aug 01 06:09:14 +0000 2018,0.0,1.0,0.0,42
442,@nytimes,-0.7964,Wed Aug 01 06:09:09 +0000 2018,0.253,0.747,0.0,43
443,@nytimes,0.8316,Wed Aug 01 06:09:06 +0000 2018,0.0,0.705,0.295,44
444,@nytimes,0.0,Wed Aug 01 06:09:00 +0000 2018,0.0,1.0,0.0,45
445,@nytimes,-0.7964,Wed Aug 01 06:08:59 +0000 2018,0.253,0.747,0.0,46
446,@nytimes,-0.8442,Wed Aug 01 06:08:35 +0000 2018,0.363,0.637,0.0,47
447,@nytimes,-0.7964,Wed Aug 01 06:08:11 +0000 2018,0.253,0.747,0.0,48
448,@nytimes,-0.5255,Wed Aug 01 06:08:09 +0000 2018,0.174,0.764,0.061,49
449,@nytimes,-0.128,Wed Aug 01 06:08:05 +0000 2018,0.091,0.909,0.0,50
450,@nytimes,-0.5255,Wed Aug 01 06:08:00 +0000 2018,0.174,0.764,0.061,51
451,@nytimes,-0.3818,Wed Aug 01 06:07:57 +0000 2018,0.29,0.568,0.142,52
452,@nytimes,-0.5255,Wed Aug 01 06:07:47 +0000 2018,0.174,0.764,0.061,53
453,@nytimes,-0.5255,Wed Aug 01 06:07:42 +0000 2018,0.174,0.764,0.061,54
454,@nytimes,0.0,Wed Aug 01 06:07:37 +0000 2018,0.0,1.0,0.0,55
455,@nytimes,-0.3182,Wed Aug 01 06:07:33 +0000 2018,0.095,0.905,0.0,56
456,@nytimes,0.0,Wed Aug 01 06:07:33 +0000 2018,0.0,1.0,0.0,57
457,@nytimes,-0.2732,Wed Aug 01 06:07:25 +0000 2018,0.133,0.802,0.065,58
458,@nytimes,0.5367,Wed Aug 01 06:07:20 +0000 2018,0.0,0.864,0.136,59
459,@nytimes,0.1027,Wed Aug 01 06:07:20 +0000 2018,0.085,0.813,0.102,60
460,@nytimes,-0.1531,Wed Aug 01 06:07:18 +0000 2018,0.131,0.763,0.106,61
461,@nytimes,0.2732,Wed Aug 01 06:07:18 +0000 2018,0.0,0.877,0.123,62
462,@nytimes,-0.296,Wed Aug 01 06:07:08 +0000 2018,0.128,0.872,0.0,63
463,@nytimes,-0.7579,Wed Aug 01 06:07:07 +0000 2018,0.228,0.772,0.0,64
464,@nytimes,0.2732,Wed Aug 01 06:07:01 +0000 2018,0.0,0.913,0.087,65
465,@nytimes,0.3612,Wed Aug 01 06:07:00 +0000 2018,0.0,0.906,0.094,66
466,@nytimes,0.4939,Wed Aug 01 06:07:00 +0000 2018,0.0,0.873,0.127,67
467,@nytimes,0.0,Wed Aug 01 06:06:51 +0000 2018,0.0,1.0,0.0,68
468,@nytimes,0.0,Wed Aug 01 06:06:48 +0000 2018,0.0,1.0,0.0,69
469,@nytimes,0.0,Wed Aug 01 06:06:41 +0000 2018,0.0,1.0,0.0,70
470,@nytimes,0.0,Wed Aug 01 06:06:38 +0000 2018,0.0,1.0,0.0,71
471,@nytimes,0.2023,Wed Aug 01 06:06:32 +0000 2018,0.169,0.608,0.223,72
472,@nytimes,-0.5255,Wed Aug 01 06:06:31 +0000 2018,0.174,0.764,0.061,73
473,@nytimes,-0.2732,Wed Aug 01 06:06:29 +0000 2018,0.084,0.916,0.0,74
474,@nytimes,-0.5255,Wed Aug 01 06:06:26 +0000 2018,0.174,0.764,0.061,75
475,@nytimes,-0.0762,Wed Aug 01 06:06:23 +0000 2018,0.206,0.794,0.0,76
476,@nytimes,0.4678,Wed Aug 01 06:06:23 +0000 2018,0.0,0.776,0.224,77
477,@nytimes,-0.6249,Wed Aug 01 06:06:21 +0000 2018,0.267,0.627,0.106,78
478,@nytimes,0.0,Wed Aug 01 06:06:19 +0000 2018,0.0,1.0,0.0,79
479,@nytimes,-0.5255,Wed Aug 01 06:06:19 +0000 2018,0.174,0.764,0.061,80
480,@nytimes,0.4019,Wed Aug 01 06:06:16 +0000 2018,0.0,0.906,0.094,81
481,@nytimes,-0.5255,Wed Aug 01 06:06:16 +0000 2018,0.174,0.764,0.061,82
482,@nytimes,0.0,Wed Aug 01 06:06:09 +0000 2018,0.0,1.0,0.0,83
483,@nytimes,-0.5255,Wed Aug 01 06:06:09 +0000 2018,0.174,0.764,0.061,84
484,@nytimes,-0.3182,Wed Aug 01 06:06:09 +0000 2018,0.095,0.905,0.0,85
485,@nytimes,0.0,Wed Aug 01 06:06:01 +0000 2018,0.0,1.0,0.0,86
486,@nytimes,-0.7964,Wed Aug 01 06:05:50 +0000 2018,0.253,0.747,0.0,87
487,@nytimes,-0.5255,Wed Aug 01 06:05:50 +0000 2018,0.174,0.764,0.061,88
488,@nytimes,0.0,Wed Aug 01 06:05:46 +0000 2018,0.0,1.0,0.0,89
489,@nytimes,-0.5255,Wed Aug 01 06:05:41 +0000 2018,0.174,0.764,0.061,90
490,@nytimes,-0.4767,Wed Aug 01 06:05:39 +0000 2018,0.147,0.853,0.0,91
491,@nytimes,-0.4588,Wed Aug 01 06:05:34 +0000 2018,0.22,0.6,0.18,92
492,@nytimes,0.0,Wed Aug 01 06:05:21 +0000 2018,0.0,1.0,0.0,93
493,@nytimes,-0.6633,Wed Aug 01 06:05:17 +0000 2018,0.177,0.78,0.043,94
494,@nytimes,-0.3327,Wed Aug 01 06:05:11 +0000 2018,0.165,0.728,0.107,95
495,@nytimes,-0.2732,Wed Aug 01 06:05:05 +0000 2018,0.133,0.802,0.065,96
496,@nytimes,-0.5255,Wed Aug 01 06:05:05 +0000 2018,0.174,0.764,0.061,97
497,@nytimes,-0.7964,Wed Aug 01 06:05:04 +0000 2018,0.253,0.747,0.0,98
498,@nytimes,-0.5255,Wed Aug 01 06:04:56 +0000 2018,0.174,0.764,0.061,99
499,@nytimes,-0.3769,Wed Aug 01 06:04:48 +0000 2018,0.332,0.455,0.213,100
